"filename", "language", "Dart", "JSON", "HTML", "C++", "YAML", "Markdown", "XML", "Swift", "Groovy", "Java", "Properties", "comment", "blank", "total"
"d:\SEM Project\quick_shift\quick_shift\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\SEM Project\quick_shift\quick_shift\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\SEM Project\quick_shift\quick_shift\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 5, 16, 77
"d:\SEM Project\quick_shift\quick_shift\android\app\google-services.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"d:\SEM Project\quick_shift\quick_shift\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 2, 41
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 4, 26
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\SEM Project\quick_shift\quick_shift\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\SEM Project\quick_shift\quick_shift\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"d:\SEM Project\quick_shift\quick_shift\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"d:\SEM Project\quick_shift\quick_shift\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\SEM Project\quick_shift\quick_shift\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\SEM Project\quick_shift\quick_shift\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"d:\SEM Project\quick_shift\quick_shift\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\SEM Project\quick_shift\quick_shift\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\SEM Project\quick_shift\quick_shift\lib\config_maps.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\SEM Project\quick_shift\quick_shift\lib\constants.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 65
"d:\SEM Project\quick_shift\quick_shift\lib\data_getter.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 52
"d:\SEM Project\quick_shift\quick_shift\lib\firebase_options.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 85
"d:\SEM Project\quick_shift\quick_shift\lib\main.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 29
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\dashboard_loader.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_booking.dart", "Dart", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 270
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_scaffold.dart", "Dart", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 292
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_booking.dart", "Dart", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 295
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_scaffold.dart", "Dart", 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 571
"d:\SEM Project\quick_shift\quick_shift\lib\screens\auth_page.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 32
"d:\SEM Project\quick_shift\quick_shift\lib\screens\check_login_status.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\SEM Project\quick_shift\quick_shift\lib\screens\forgot_pw_page.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 109
"d:\SEM Project\quick_shift\quick_shift\lib\screens\signin_page.dart", "Dart", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 255
"d:\SEM Project\quick_shift\quick_shift\lib\screens\signup_page.dart", "Dart", 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 629
"d:\SEM Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\SEM Project\quick_shift\quick_shift\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\SEM Project\quick_shift\quick_shift\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\SEM Project\quick_shift\quick_shift\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\SEM Project\quick_shift\quick_shift\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\SEM Project\quick_shift\quick_shift\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 4, 23
"d:\SEM Project\quick_shift\quick_shift\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\SEM Project\quick_shift\quick_shift\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\SEM Project\quick_shift\quick_shift\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"d:\SEM Project\quick_shift\quick_shift\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\SEM Project\quick_shift\quick_shift\macos\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\SEM Project\quick_shift\quick_shift\pubspec.yaml", "YAML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 59, 17, 110
"d:\SEM Project\quick_shift\quick_shift\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\SEM Project\quick_shift\quick_shift\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"d:\SEM Project\quick_shift\quick_shift\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\SEM Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\SEM Project\quick_shift\quick_shift\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\SEM Project\quick_shift\quick_shift\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\SEM Project\quick_shift\quick_shift\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\SEM Project\quick_shift\quick_shift\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\SEM Project\quick_shift\quick_shift\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\SEM Project\quick_shift\quick_shift\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\SEM Project\quick_shift\quick_shift\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\SEM Project\quick_shift\quick_shift\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\SEM Project\quick_shift\quick_shift\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 2517, 316, 37, 502, 37, 13, 471, 50, 92, 13, 8, 377, 424, 4857
